,SPY,QQQ,EEM,VT,ESGV,VSGX,VTI,GLD,cash_balance,total_value
2020-03-16,10,5,0,0,0,0,0,0,10000.0,13245.000076293945
2020-03-17,10,5,0,0,0,0,0,0,10000.0,13438.70002746582
2020-03-18,10,5,0,0,0,0,0,0,10000.0,13283.000030517578
2020-03-19,10,5,0,0,0,0,0,0,10000.0,13293.399963378906
2020-03-20,10,5,0,0,0,0,0,0,10000.0,13141.500015258789
2020-03-21,10,5,0,0,0,0,0,0,10000.0,13141.500015258789
2020-03-22,10,5,0,0,0,0,0,0,10000.0,13141.500015258789
2020-03-23,10,5,0,0,0,0,0,0,10000.0,13081.800003051758
2020-03-24,10,5,0,0,0,0,0,0,10000.0,13349.79995727539
2020-03-25,10,5,0,0,0,0,0,0,10000.0,13379.399948120117
2020-03-26,10,5,0,0,0,0,0,0,10000.0,13571.500091552734
2020-03-27,10,5,0,0,0,0,0,0,10000.0,13460.699996948242
2020-03-28,10,5,0,0,0,0,0,0,10000.0,13460.699996948242
2020-03-29,10,5,0,0,0,0,0,0,10000.0,13460.699996948242
2020-03-30,10,5,0,0,0,0,0,0,10000.0,13576.699905395508
2020-03-31,10,5,0,0,0,0,0,0,10000.0,13529.499969482422
2020-04-01,10,5,0,0,0,0,0,0,10000.0,13373.049926757812
2020-04-02,10,5,0,0,0,0,0,0,10000.0,13448.349990844727
2020-04-03,10,5,0,0,0,0,0,0,10000.0,13398.75
2020-04-04,10,5,0,0,0,0,0,0,10000.0,13398.75
2020-04-05,10,5,0,0,0,0,0,0,10000.0,13398.75
2020-04-06,10,5,0,0,0,0,0,0,10000.0,13630.99983215332
2020-04-07,10,5,0,0,0,0,0,0,10000.0,13633.300018310547
2020-04-08,10,5,0,0,0,0,0,0,10000.0,13743.150024414062
2020-04-09,10,5,0,0,0,0,0,0,10000.0,13786.30012512207
2020-04-10,10,5,0,0,0,0,0,0,10000.0,13786.30012512207
2020-04-11,10,5,0,0,0,0,0,0,10000.0,13786.30012512207
2020-04-12,10,5,0,0,0,0,0,0,10000.0,13786.30012512207
2020-04-13,10,5,0,0,0,0,0,0,10000.0,13771.750030517578
2020-04-14,10,5,0,0,0,0,0,0,10000.0,13897.200088500977
2020-04-15,10,5,0,0,0,0,0,0,10000.0,13824.750061035156
2020-04-16,10,5,0,0,0,0,0,0,10000.0,13857.250061035156
2020-04-17,10,5,0,0,0,0,0,0,10000.0,13942.850112915039
2020-04-18,10,5,0,0,0,0,0,0,10000.0,13942.850112915039
2020-04-19,10,5,0,0,0,0,0,0,10000.0,13942.850112915039
2020-04-20,10,5,0,0,0,0,0,0,10000.0,13879.599990844727
2020-04-21,10,5,0,0,0,0,0,0,10000.0,13754.850082397461
2020-04-22,10,5,0,0,0,0,0,0,10000.0,13845.850067138672
2020-04-23,10,5,0,0,0,0,0,0,10000.0,13843.399887084961
2020-04-24,10,5,0,0,0,0,0,0,10000.0,13898.899993896484
2020-04-25,10,5,0,0,0,0,0,0,10000.0,13898.899993896484
2020-04-26,10,5,0,0,0,0,0,0,10000.0,13898.899993896484
2020-04-27,10,5,0,0,0,0,0,0,10000.0,13948.299865722656
2020-04-28,10,5,0,0,0,0,0,0,10000.0,13914.800109863281
2020-04-29,10,5,0,0,0,0,0,0,10000.0,14027.099914550781
2020-04-30,10,5,0,0,0,0,0,0,10000.0,13999.350128173828
2020-05-01,10,5,0,0,0,0,0,0,10000.0,13891.600112915039
2020-05-02,10,5,0,0,0,0,0,0,10000.0,13891.600112915039
2020-05-03,10,5,0,0,0,0,0,0,10000.0,13891.600112915039
2020-05-04,10,5,0,0,0,0,0,0,10000.0,13911.800079345703
2020-05-05,10,5,0,0,0,0,0,0,10000.0,13950.20004272461
2020-05-06,10,5,0,0,0,0,0,0,10000.0,13937.5
2020-05-07,10,5,0,0,0,0,0,0,10000.0,13985.899963378906
2020-05-08,10,5,0,0,0,0,0,0,10000.0,14048.70002746582
2020-05-09,10,5,0,0,0,0,0,0,10000.0,14048.70002746582
2020-05-10,10,5,0,0,0,0,0,0,10000.0,14048.70002746582
2020-05-11,10,5,0,0,0,0,0,0,10000.0,14059.349975585938
2020-05-12,10,5,0,0,0,0,0,0,10000.0,13977.300109863281
2020-05-13,10,5,0,0,0,0,0,0,10000.0,13912.70004272461
2020-05-14,10,5,0,0,0,0,0,0,10000.0,13958.850021362305
2020-05-15,10,5,0,0,0,0,0,0,10000.0,13979.150009155273
2020-05-16,10,5,0,0,0,0,0,0,10000.0,13979.150009155273
2020-05-17,10,5,0,0,0,0,0,0,10000.0,13979.150009155273
2020-05-18,10,5,0,0,0,0,0,0,10000.0,14087.149963378906
2020-05-19,10,5,0,0,0,0,0,0,10000.0,14054.000015258789
2020-05-20,10,5,0,0,0,0,0,0,10000.0,14126.249923706055
2020-05-21,10,5,0,0,0,0,0,0,10000.0,14093.150024414062
2020-05-22,10,5,0,0,0,0,0,0,10000.0,14102.70004272461
2020-05-23,10,5,0,0,0,0,0,0,10000.0,14102.70004272461
2020-05-24,10,5,0,0,0,0,0,0,10000.0,14102.70004272461
2020-05-25,10,5,0,0,0,0,0,0,10000.0,14102.70004272461
2020-05-26,10,5,0,0,0,0,0,0,10000.0,14135.99983215332
2020-05-27,10,5,0,0,0,0,0,0,10000.0,14186.749954223633
2020-05-28,10,5,0,0,0,0,0,0,10000.0,14179.650039672852
2020-05-29,10,5,0,0,0,0,0,0,10000.0,14210.000076293945
2020-05-30,10,5,0,0,0,0,0,0,10000.0,14210.000076293945
2020-05-31,10,5,0,0,0,0,0,0,10000.0,14210.000076293945
2020-06-01,10,5,0,0,0,0,0,0,10000.0,14225.799865722656
2020-06-02,10,5,0,0,0,0,0,0,10000.0,14258.949890136719
2020-06-03,10,5,0,0,0,0,0,0,10000.0,14305.249938964844
2020-06-04,10,5,0,0,0,0,0,0,10000.0,14288.74984741211
2020-06-05,10,5,0,0,0,0,0,0,10000.0,14391.849975585938
2020-06-06,10,5,0,0,0,0,0,0,10000.0,14391.849975585938
2020-06-07,10,5,0,0,0,0,0,0,10000.0,14391.849975585938
2020-06-08,10,5,0,0,0,0,0,0,10000.0,14439.750137329102
2020-06-09,10,5,0,0,0,0,0,0,10000.0,14424.400100708008
2020-06-10,10,5,0,0,0,0,0,0,10000.0,14421.100006103516
2020-06-11,10,5,0,0,0,0,0,0,10000.0,14176.19987487793
2020-06-12,10,5,0,0,0,0,0,0,10000.0,14221.499938964844
2020-06-13,10,5,0,0,0,0,0,0,10000.0,14221.499938964844
2020-06-14,10,5,0,0,0,0,0,0,10000.0,14221.499938964844
2020-06-15,10,5,0,0,0,0,0,0,10000.0,14264.249877929688
2020-06-16,10,5,0,0,0,0,0,0,10000.0,14343.84994506836
2020-06-17,10,5,0,0,0,0,0,0,10000.0,14334.700012207031
2020-06-18,10,5,0,0,0,0,0,0,10000.0,14339.199981689453
2020-06-19,10,5,0,0,0,0,0,0,10000.0,14307.600173950195
2020-06-20,10,5,0,0,0,0,0,0,10000.0,14307.600173950195
2020-06-21,10,5,0,0,0,0,0,0,10000.0,14307.600173950195
2020-06-22,10,5,0,0,0,0,0,0,10000.0,14339.899978637695
2020-06-23,10,5,0,0,0,0,0,0,10000.0,14364.69985961914
2020-06-24,10,5,0,0,0,0,0,0,10000.0,14259.449996948242
2020-06-25,10,5,0,0,0,0,0,0,10000.0,14303.65005493164
2020-06-26,10,5,0,0,0,0,0,0,10000.0,14201.599884033203
2020-06-27,10,5,0,0,0,0,0,0,10000.0,14201.599884033203
2020-06-28,10,5,0,0,0,0,0,0,10000.0,14201.599884033203
2020-06-29,10,5,0,0,0,0,0,0,10000.0,14258.799896240234
2020-06-30,10,5,0,0,0,0,0,0,10000.0,14321.599884033203
2020-07-01,10,5,0,0,0,0,0,0,10000.0,14357.649917602539
2020-07-02,10,5,0,0,0,0,0,0,10000.0,14383.250122070312
2020-07-03,10,5,0,0,0,0,0,0,10000.0,14383.250122070312
2020-07-04,10,5,0,0,0,0,0,0,10000.0,14383.250122070312
2020-07-05,10,5,0,0,0,0,0,0,10000.0,14383.250122070312
2020-07-06,10,5,0,0,0,0,0,0,10000.0,14462.449951171875
2020-07-07,10,5,0,0,0,0,0,0,10000.0,14420.849914550781
2020-07-08,10,5,0,0,0,0,0,0,10000.0,14461.749877929688
2020-07-09,10,5,0,0,0,0,0,0,10000.0,14454.700012207031
2020-07-10,10,5,0,0,0,0,0,0,10000.0,14495.749969482422
2020-07-11,10,5,0,0,0,0,0,0,10000.0,14495.749969482422
2020-07-12,10,5,0,0,0,0,0,0,10000.0,14495.749969482422
2020-07-13,10,5,0,0,0,0,0,0,10000.0,14441.100006103516
2020-07-14,10,5,0,0,0,0,0,0,10000.0,14491.050109863281
2020-07-15,10,5,0,0,0,0,0,0,10000.0,14523.000030517578
2020-07-16,10,5,0,0,0,0,0,0,10000.0,14503.500061035156
2020-07-17,10,5,0,0,0,0,0,0,10000.0,14514.300079345703
2020-07-18,10,5,0,0,0,0,0,0,10000.0,14514.300079345703
2020-07-19,10,5,0,0,0,0,0,0,10000.0,14514.300079345703
2020-07-20,10,5,0,0,0,0,0,0,10000.0,14577.100067138672
2020-07-21,10,5,0,0,0,0,0,0,10000.0,14570.10009765625
2020-07-22,10,5,0,0,0,0,0,0,10000.0,14593.249816894531
2020-07-23,10,5,0,0,0,0,0,0,10000.0,14519.649963378906
2020-07-24,10,5,0,0,0,0,0,0,10000.0,14486.600036621094
2020-07-25,10,5,0,0,0,0,0,0,10000.0,14486.600036621094
2020-07-26,10,5,0,0,0,0,0,0,10000.0,14486.600036621094
2020-07-27,10,5,0,0,0,0,0,0,10000.0,14532.799987792969
2020-07-28,10,5,0,0,0,0,0,0,10000.0,14495.750122070312
2020-07-29,10,5,0,0,0,0,0,0,10000.0,14550.049896240234
2020-07-30,10,5,0,0,0,0,0,0,10000.0,14545.249938964844
2020-07-31,10,5,0,0,0,0,0,0,10000.0,14594.149932861328
2020-08-01,10,5,0,0,0,0,0,0,10000.0,14594.149932861328
2020-08-02,10,5,0,0,0,0,0,0,10000.0,14594.149932861328
2020-08-03,10,5,0,0,0,0,0,0,10000.0,14634.800109863281
2020-08-04,10,5,0,0,0,0,0,0,10000.0,14652.5
2020-08-05,10,5,0,0,0,0,0,0,10000.0,14676.349792480469
2020-08-06,10,5,0,0,0,0,0,0,10000.0,14716.499938964844
2020-08-07,10,5,0,0,0,0,0,0,10000.0,14703.050079345703
2020-08-08,10,5,0,0,0,0,0,0,10000.0,14703.050079345703
2020-08-09,10,5,0,0,0,0,0,0,10000.0,14703.050079345703
2020-08-10,10,5,0,0,0,0,0,0,10000.0,14707.250061035156
2020-08-11,10,5,0,0,0,0,0,0,10000.0,14653.949890136719
2020-08-12,10,5,0,0,0,0,0,0,10000.0,14733.699951171875
2020-08-13,10,5,0,0,0,0,0,0,10000.0,14730.699920654297
2020-08-14,10,5,0,0,0,0,0,0,10000.0,14729.199981689453
2020-08-15,10,5,0,0,0,0,0,0,10000.0,14729.199981689453
2020-08-16,10,5,0,0,0,0,0,0,10000.0,14729.199981689453
2020-08-17,10,5,0,0,0,0,0,0,10000.0,14755.700073242188
2020-08-18,10,5,0,0,0,0,0,0,10000.0,14776.25015258789
2020-08-19,10,5,0,0,0,0,0,0,10000.0,14752.80014038086
2020-08-20,10,5,0,0,0,0,0,0,10000.0,14782.449951171875
2020-08-21,10,5,0,0,0,0,0,0,10000.0,14804.150085449219
2020-08-22,10,5,0,0,0,0,0,0,10000.0,14804.150085449219
2020-08-23,10,5,0,0,0,0,0,0,10000.0,14804.150085449219
2020-08-24,10,5,0,0,0,0,0,0,10000.0,14847.350158691406
2020-08-25,10,5,0,0,0,0,0,0,10000.0,14870.499877929688
2020-08-26,10,5,0,0,0,0,0,0,10000.0,14935.500030517578
2020-08-27,10,5,0,0,0,0,0,0,10000.0,14938.5498046875
2020-08-28,10,5,0,0,0,0,0,0,10000.0,14968.44985961914
2020-08-29,10,5,0,0,0,0,0,0,10000.0,14968.44985961914
2020-08-30,10,5,0,0,0,0,0,0,10000.0,14968.44985961914
2020-08-31,10,5,0,0,0,0,0,0,10000.0,14967.5
2020-09-01,10,5,0,0,0,0,0,0,10000.0,15025.600128173828
2020-09-02,10,5,0,0,0,0,0,0,10000.0,15090.800170898438
2020-09-03,10,5,0,0,0,0,0,0,10000.0,14890.950164794922
2020-09-04,10,5,0,0,0,0,0,0,10000.0,14843.600006103516
2020-09-05,10,5,0,0,0,0,0,0,10000.0,14843.600006103516
2020-09-06,10,5,0,0,0,0,0,0,10000.0,14843.600006103516
2020-09-07,10,5,0,0,0,0,0,0,10000.0,14843.600006103516
2020-09-08,10,5,0,0,0,0,0,0,10000.0,14681.849975585938
2020-09-09,10,5,0,0,0,0,0,0,10000.0,14787.300109863281
2020-09-10,10,5,0,0,0,0,0,0,10000.0,14700.600128173828
2020-09-11,10,5,0,0,0,0,0,0,10000.0,14692.850036621094
2020-09-12,10,5,0,0,0,0,0,0,10000.0,14692.850036621094
2020-09-13,10,5,0,0,0,0,0,0,10000.0,14692.850036621094
2020-09-14,10,5,0,0,0,0,0,0,10000.0,14760.399932861328
2020-09-15,10,5,0,0,0,0,0,0,10000.0,14797.000122070312
2020-09-16,10,5,0,0,0,0,0,0,10000.0,14761.25
2020-09-17,10,5,0,0,0,0,0,0,10000.0,14710.0
2020-09-18,10,5,0,0,0,0,0,0,10000.0,14640.849914550781
2020-09-19,10,5,0,0,0,0,0,0,10000.0,14640.849914550781
2020-09-20,10,5,0,0,0,0,0,0,10000.0,14640.849914550781
2020-09-21,10,5,0,0,0,0,0,0,10000.0,14607.250061035156
2020-09-22,10,5,0,0,0,0,0,0,10000.0,14665.399932861328
2020-09-23,10,5,0,0,0,0,0,0,10000.0,14547.200164794922
2020-09-24,10,5,0,0,0,0,0,0,10000.0,14561.950073242188
2020-09-25,10,5,0,0,0,0,0,0,10000.0,14645.10009765625
2020-09-26,10,5,0,0,0,0,0,0,10000.0,14645.10009765625
2020-09-27,10,5,0,0,0,0,0,0,10000.0,14645.10009765625
2020-09-28,10,5,0,0,0,0,0,0,10000.0,14727.900085449219
2020-09-29,10,5,0,0,0,0,0,0,10000.0,14703.450012207031
2020-09-30,10,5,0,0,0,0,0,0,10000.0,14738.100128173828
2020-10-01,10,5,0,0,0,0,0,0,10000.0,14781.650085449219
2020-10-02,10,5,0,0,0,0,0,0,10000.0,14709.949951171875
2020-10-03,10,5,0,0,0,0,0,0,10000.0,14709.949951171875
2020-10-04,10,5,0,0,0,0,0,0,10000.0,14709.949951171875
2020-10-05,10,5,0,0,0,0,0,0,10000.0,14798.400115966797
2020-10-06,10,5,0,0,0,0,0,0,10000.0,14725.09994506836
2020-10-07,10,5,0,0,0,0,0,0,10000.0,14807.200164794922
2020-10-08,10,5,0,0,0,0,0,0,10000.0,14844.850006103516
2020-10-09,10,5,0,0,0,0,0,0,10000.0,14897.050018310547
